id,title,company,location,work_mode,employment_type,seniority,category,difficulty_score,description,technologies_json,skills,technologies,text_features
104,Business Intelligence Specialist,DeLonghi Romania,Cluj-Napoca / Remote Romania,ONSITE,FULL_TIME,MID,BI,65,"DeLonghi Romania caută un/o Business Intelligence Specialist pentru echipele din Cluj-Napoca, cu activitate în regim onsite. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Power BI, SQL Server, Power Query și va folosi în mod constant competențe precum Power BI, SQL, ETL, Data Modeling, Dashboard Design. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale.","[""Power BI"", ""SQL Server"", ""Power Query""]","Dashboard Design, Data Modeling, ETL, Power BI, SQL, Stakeholder Management",Power BI SQL Server Power Query,"Business Intelligence Specialist DeLonghi Romania caută un/o Business Intelligence Specialist pentru echipele din Cluj-Napoca, cu activitate în regim onsite. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Power BI, SQL Server, Power Query și va folosi în mod constant competențe precum Power BI, SQL, ETL, Data Modeling, Dashboard Design. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale. Dashboard Design, Data Modeling, ETL, Power BI, SQL, Stakeholder Management Power BI SQL Server Power Query"
105,Data Warehouse Analyst,Tapptitude,Cluj-Napoca Metropolitan Area,HYBRID,FULL_TIME,MID,DATA,69,"Tapptitude caută un/o Data Warehouse Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu SQL Server, SSIS, Power BI și va folosi în mod constant competențe precum SQL, ETL, Data Modeling, Microsoft SQL Server, Documentation. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale.","[""SQL Server"", ""SSIS"", ""Power BI""]","Data Modeling, Documentation, ETL, Microsoft SQL Server, Requirements Gathering, SQL",SQL Server SSIS Power BI,"Data Warehouse Analyst Tapptitude caută un/o Data Warehouse Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu SQL Server, SSIS, Power BI și va folosi în mod constant competențe precum SQL, ETL, Data Modeling, Microsoft SQL Server, Documentation. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale. Data Modeling, Documentation, ETL, Microsoft SQL Server, Requirements Gathering, SQL SQL Server SSIS Power BI"
106,Junior Reporting Specialist,Emerson,Cluj-Napoca,HYBRID,FULL_TIME,JUNIOR,BI,48,"Emerson caută un/o Junior Reporting Specialist pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Excel, Power BI și va folosi în mod constant competențe precum Excel, Reporting, Power BI, KPI Analysis, Communication. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale.","[""Excel"", ""Power BI""]","Communication, Data Visualization, Excel, KPI Analysis, Power BI, Reporting",Excel Power BI,"Junior Reporting Specialist Emerson caută un/o Junior Reporting Specialist pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Excel, Power BI și va folosi în mod constant competențe precum Excel, Reporting, Power BI, KPI Analysis, Communication. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale. Communication, Data Visualization, Excel, KPI Analysis, Power BI, Reporting Excel Power BI"
107,Marketing Data Analyst,Betfair Romania Development,Cluj-Napoca / Remote Romania,HYBRID,FULL_TIME,JUNIOR,DATA,51,"Betfair Romania Development caută un/o Marketing Data Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Tableau, Excel, SQL și va folosi în mod constant competențe precum SQL, Excel, Tableau, Data Analysis, Statistical Analysis. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale.","[""Tableau"", ""Excel"", ""SQL""]","Data Analysis, Excel, Presentation Skills, SQL, Statistical Analysis, Tableau",Tableau Excel SQL,"Marketing Data Analyst Betfair Romania Development caută un/o Marketing Data Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Tableau, Excel, SQL și va folosi în mod constant competențe precum SQL, Excel, Tableau, Data Analysis, Statistical Analysis. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale. Data Analysis, Excel, Presentation Skills, SQL, Statistical Analysis, Tableau Tableau Excel SQL"
108,Finance Data Analyst,Garmin Cluj,Cluj-Napoca Metropolitan Area,HYBRID,FULL_TIME,MID,DATA,65,"Garmin Cluj caută un/o Finance Data Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Excel, Power BI, SQL și va folosi în mod constant competențe precum Excel, SQL, Power BI, KPI Analysis, Data Analysis. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale.","[""Excel"", ""Power BI"", ""SQL""]","Data Analysis, Documentation, Excel, KPI Analysis, Power BI, SQL",Excel Power BI SQL,"Finance Data Analyst Garmin Cluj caută un/o Finance Data Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Excel, Power BI, SQL și va folosi în mod constant competențe precum Excel, SQL, Power BI, KPI Analysis, Data Analysis. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale. Data Analysis, Documentation, Excel, KPI Analysis, Power BI, SQL Excel Power BI SQL"
109,HR People Analytics Analyst,Vertiv,Cluj-Napoca,HYBRID,FULL_TIME,JUNIOR,DATA,49,"Vertiv caută un/o HR People Analytics Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Power BI, Excel și va folosi în mod constant competențe precum Excel, Power BI, Data Analysis, Data Visualization, Communication. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale.","[""Power BI"", ""Excel""]","Communication, Data Analysis, Data Visualization, Excel, Power BI, Problem Solving",Power BI Excel,"HR People Analytics Analyst Vertiv caută un/o HR People Analytics Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Power BI, Excel și va folosi în mod constant competențe precum Excel, Power BI, Data Analysis, Data Visualization, Communication. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale. Communication, Data Analysis, Data Visualization, Excel, Power BI, Problem Solving Power BI Excel"
110,Product Data Analyst,E.ON Software Development,Cluj-Napoca / Remote Romania,REMOTE,FULL_TIME,MID,DATA,65,"E.ON Software Development caută un/o Product Data Analyst pentru echipele din Cluj-Napoca, cu activitate în regim remote. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Python, SQL, Power BI și va folosi în mod constant competențe precum SQL, Python, Data Analysis, Statistics, Dashboard Design. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale.","[""Python"", ""SQL"", ""Power BI""]","Dashboard Design, Data Analysis, Python, SQL, Stakeholder Management, Statistical Analysis",Python SQL Power BI,"Product Data Analyst E.ON Software Development caută un/o Product Data Analyst pentru echipele din Cluj-Napoca, cu activitate în regim remote. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Python, SQL, Power BI și va folosi în mod constant competențe precum SQL, Python, Data Analysis, Statistics, Dashboard Design. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale. Dashboard Design, Data Analysis, Python, SQL, Stakeholder Management, Statistical Analysis Python SQL Power BI"
111,Data Quality Analyst,Genpact,Cluj-Napoca Metropolitan Area,HYBRID,FULL_TIME,JUNIOR,DATA,48,"Genpact caută un/o Data Quality Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu SQL, Excel și va folosi în mod constant competențe precum SQL, Data Preprocessing, Data Analysis, ETL, Documentation. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale.","[""SQL"", ""Excel""]","Data Analysis, Data Preprocessing, Documentation, ETL, Problem Solving, SQL",SQL Excel,"Data Quality Analyst Genpact caută un/o Data Quality Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu SQL, Excel și va folosi în mod constant competențe precum SQL, Data Preprocessing, Data Analysis, ETL, Documentation. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale. Data Analysis, Data Preprocessing, Documentation, ETL, Problem Solving, SQL SQL Excel"
112,BI Developer,Office Depot / Veyer,Cluj-Napoca,HYBRID,FULL_TIME,MID,BI,65,"Office Depot / Veyer caută un/o BI Developer pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Power BI, DAX, SQL Server și va folosi în mod constant competențe precum Power BI, SQL, DAX, Data Modeling, ETL. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale.","[""Power BI"", ""DAX"", ""SQL Server""]","Dashboard Design, Data Modeling, DAX, ETL, Power BI, SQL",Power BI DAX SQL Server,"BI Developer Office Depot / Veyer caută un/o BI Developer pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Power BI, DAX, SQL Server și va folosi în mod constant competențe precum Power BI, SQL, DAX, Data Modeling, ETL. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale. Dashboard Design, Data Modeling, DAX, ETL, Power BI, SQL Power BI DAX SQL Server"
113,Junior SQL Analyst,Halcyon Mobile,Cluj-Napoca / Remote Romania,HYBRID,FULL_TIME,JUNIOR,DATA,49,"Halcyon Mobile caută un/o Junior SQL Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu SQL, Excel și va folosi în mod constant competențe precum SQL, Excel, Data Analysis, Reporting, Communication. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale.","[""SQL"", ""Excel""]","Communication, Data Analysis, Excel, Reporting, SQL",SQL Excel,"Junior SQL Analyst Halcyon Mobile caută un/o Junior SQL Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu SQL, Excel și va folosi în mod constant competențe precum SQL, Excel, Data Analysis, Reporting, Communication. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale. Communication, Data Analysis, Excel, Reporting, SQL SQL Excel"
